Item Identifier,Media Url
134,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000022.jpg
108,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000019.jpg
21,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/3/00000009.jpg
21,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/3/00000010.jpg
35,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000013.jpg
242,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/24/00000001.jpg
242,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/24/00000002.jpg
242,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/24/00000003.jpg
242,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/24/00000004.jpg
242,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/24/00000005.jpg
242,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/24/00000006.jpg
34,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000012.jpg
20,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/3/00000007.jpg
20,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/3/00000008.jpg
109,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000020.jpg
135,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000023.jpg
121,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000037.jpg
121,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000038.jpg
137,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000025.jpg
123,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000004.jpg
123,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000005.jpg
123,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000006.jpg
36,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000014.jpg
36,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000015.jpg
36,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000016.jpg
22,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/3/00000011.jpg
22,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/3/00000012.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000001.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000002.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000003.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000004.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000005.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000006.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000007.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000008.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000009.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000010.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000011.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000012.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000013.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000014.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000015.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000016.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000017.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000018.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000019.jpg
241,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/23/00000020.jpg
23,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/3/00000013.jpg
23,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/3/00000014.jpg
23,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/3/00000015.jpg
37,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000017.jpg
37,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000018.jpg
122,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000003.jpg
136,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000024.jpg
132,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000020.jpg
126,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000010.jpg
